acct_id,agent_id,div_code,division,curr_meter_read_remark,prev_meter_read_remark,prev_bill_basis
5873771141,PUFGL00350,DIV435721,RDF ,P,PROV,
5874185000,FGLTD02400,DIV475935,RDF,RDF,ASS,
5875727000,FGLTD03015,DIV475811,IDF ,IDF,ASS,
5875987000,FGLTD01557,DIV475932,RDF ,OK,MU,
5876466732,PUFGL00513,DIV475932,RDF ,OK,MU,
5877617000,FGLTD03410,DIV475611,RDF ,OK,MU,
5878077000,PUFGL00849,DIV475814,IDF ,IDF,ASS,
5878185000,FGLTD01190,DIV475813,RDF,RDF,ASS,
5878467000,FGLTD01258,DIV475932,RDF ,OK,MU,
5878856984,FGLTD03170,DIV435731,RDF ,OK,CEIL,
5880285000,PUFGL00462,DIV475931,RDF ,RDF,ASS,
5880417000,PUFGL00676,DIV475811,RDF,BR,MU,
5880597000,FGLTD03116,DIV475814,IDF ,IDF,ASS,
5880882604,PUFGL00830,DIV475813,RDF ,OK,MU,
5881289298,PUFGL00875,DIV475611,RDF ,OK,MU,
5881376000,FGLTD02929,DIV475814,IDF,IDF,ASS,
5881827000,FGLTD03013,DIV475811,IDF ,IDF,ASS,
5883529611,PUFGL00837,DIV475813,RDF ,OK,MU,
5883627000,FGLTD03221,DIV475613,RDF ,P,PROV,
5884385000,FGLTD03230,DIV475813,RDF ,RDF,ASS,
5884990931,FGLTD03049,DIV475814,IDF ,IDF,ASS,
5886075000,FGLTD02025,DIV475934,RDF ,RDF,ASS,
5886318000,FGLTD02460,DIV475932,RDF ,OK,MU,
5886426000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5886569813,PUFGL01017,DIV475612,RDF ,RDF,ASS,
5886877000,FGLTD02471,DIV475814,IDF,IDF,ASS,
5887066844,PUFGL00709,DIV475811,RDF ,RDF,ASS,
5887118000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5888108000,PUFGL00246,DIV435733,RDF ,P,PROV,
5888265000,PUFGL00121,DIV435732,RDF ,BR,MU,
5888497000,PUFGL00811,DIV475813,RDF ,RDF,ASS,
5888808000,PUFGL00838,DIV475813,RDF,RDF,ASS,
5891146000,FGLTD02471,DIV475814,IDF ,IDF,ASS,
5891426000,PUFGL00835,DIV475813,RDF ,RDF,ASS,
5892446000,PUFGL00109,DIV435732,RDF ,BR,MU,
5893457000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
5893751657,PUFGL01209,DIV475935,RDF ,OK,MU,
5894267000,PUFGL01017,DIV475612,RDF ,RDF,ASS,
5894528343,FGLTD03321,DIV475812,RDF ,BR,MU,
5895354906,PUFGL00715,DIV475811,RDF ,RDF,ASS,
5896186065,FGLTD02968,DIV475812,IDF ,RDF,ASS,
5896518000,PUFGL01060,DIV475613,RDF ,RDF,ASS,
5897837000,FGLTD02341,DIV475612,RDF ,RDF,ASS,
5898185000,PUFGL00826,DIV475813,RDF ,RDF,ASS,
5898368750,PUFGL00513,DIV475932,RDF ,P,PROV,
5898577000,PUFGL01136,DIV475614,RDF ,RDF,ASS,
5899157000,FGLTD03128,DIV475813,RDF ,OK,MU,
5899708000,FGLTD01191,DIV475813,RDF ,OK,MU,
5899737000,PUFGL00837,DIV475813,RDF ,P,PROV,
5900286000,PUFGL00844,DIV475814,IDF,IDF,ASS,
5902375000,PUFGL00704,DIV475811,IDF ,IDF,ASS,
5903146000,FGLTD02606,DIV475814,IDF ,IDF,ASS,
5903767000,FGLTD02667,DIV475813,RDF ,RDF,ASS,
5903807624,FGLTD02952,DIV475811,RDF ,RDF,ASS,
5903957000,FGLTD01182,DIV475813,RDF ,RDF,ASS,
5903966000,PUFGL00593,DIV475934,RDF ,OK,MU,
5904966000,PUFGL01082,DIV475613,RDF ,OK,MU,
5907376000,PUFGL00716,DIV475811,RDF,TDMR,MU,
5907436000,PUFGL01000,DIV475612,RDF ,P,PROV,
5908375000,FGLTD01191,DIV475813,RDF,RDF,ASS,
5908385000,PUFGL00844,DIV475814,IDF ,IDF,ASS,
5908636000,FGLTD01808,DIV475934,RDF,RDF,ASS,
5908697000,PUFGL00259,DIV435733,RDF ,P,PROV,
5908764243,PUFGL00706,DIV475811,IDF ,IDF,ASS,
5909517064,FGLTD01258,DIV475932,RDF ,OK,MU,
5910596000,FGLTD03227,DIV475813,RDF ,RDF,ASS,
5911677000,PUFGL00758,DIV475812,RDF ,OK,MU,
5912246000,PUFGL01063,DIV475613,RDF,RDF,ASS,
5912537000,PUFGL00806,DIV475813,RDF ,OK,MU,
5912856000,FGLTD02178,DIV475934,RDF ,RDF,ASS,
5913646000,PUFGL00835,DIV475813,RDF,IDF,ASS,
5915060783,FGLTD03289,DIV475814,IDF ,IDF,ASS,
5916776000,PUFGL01039,DIV475613,RDF,RDF,ASS,
5916817000,PUFGL01107,DIV475614,RDF ,RDF,ASS,
5917246000,PUFGL00325,DIV435721,RDF ,RDF,ASS,
5918887000,PUFGL00687,DIV475811,IDF ,IDF,ASS,
5919002817,FGLTD02667,DIV475813,RDF ,RDF,ASS,
5919377000,PUFGL01125,DIV475614,RDF ,RDF,ASS,
5920308000,PUFGL00251,DIV435733,RDF ,OK,MU,
5920374437,FGLTD01816,DIV435711,RDF ,OK,CEIL,
5920636000,PUFGL00566,DIV475934,RDF,RDF,ASS,
5921227000,FGLTD01511,DIV475935,RDF ,RDF,ASS,
5921630151,PUFGL00709,DIV475811,IDF ,IDF,ASS,
5924075000,FGLTD03410,DIV475611,RDF ,OK,MU,
5924357000,FGLTD02540,DIV435731,RDF ,RDF,ASS,
5926115690,PUFGL00704,DIV475811,IDF ,IDF,ASS,
5926256000,PUFGL01017,DIV475612,IDF ,IDF,ASS,
5926296000,FGLTD01536,DIV475934,RDF ,RDF,ASS,
5926501574,PUFGL00886,DIV475611,RDF ,OK,MU,
5926556000,FGLTD03390,DIV475811,IDF,IDF,ASS,
5927118000,FGLTD02929,DIV475814,IDF ,IDF,ASS,
5928666000,FGLTD03004,DIV475812,IDF ,IDF,ASS,
5928676000,PUFGL00784,DIV475812,RDF ,RDF,ASS,
5929185092,FGLTD03157,DIV475614,RDF ,OK,MU,
5929277000,PUFGL00481,DIV475932,RDF,OK,MU,
5930267000,FGLTD01244,DIV435722,RDF ,OK,MU,
5930336000,FGLTD02123,DIV475612,RDF ,RDF,ASS,
5930487000,PUFGL01136,DIV475614,RDF ,RDF,ASS,
5930607000,FGLTD02474,DIV475814,IDF ,IDF,ASS,
5931146526,FGLTD02667,DIV475813,RDF ,RDF,ASS,
5931308000,FGLTD03049,DIV475814,IDF ,IDF,ASS,
5932807000,PUFGL01017,DIV475612,RDF ,OK,MU,
5933896000,PUFGL01010,DIV475612,RDF ,P,PROV,
5934301277,PUFGL00833,DIV475813,RDF ,OK,MU,
5934866000,PUFGL00731,DIV475812,RDF ,OK,MU,
5935426000,FGLTD03290,DIV475814,IDF,IDF,ASS,
5936886000,FGLTD02676,DIV475611,RDF ,OK,MU,
5938192719,PUFGL00117,DIV435732,RDF ,P,PROV,
5940078650,PUFGL00626,DIV475935,RDF,RDF,ASS,
5940256000,PUFGL00790,DIV475812,RDF ,RDF,ASS,
5940895684,PUFGL00853,DIV475814,IDF ,IDF,ASS,
5941085000,FGLTD03125,DIV475813,RDF ,RDF,ASS,
