div_code,agent_id,latitude,longitude,total_bills
DIV435733,PUFGL00257,26.8704945,83.2596073,19
DIV435733,PUFGL00257,26.8704975,83.2596147,16
DIV435733,PUFGL00257,26.870494,83.259616,12
DIV435733,PUFGL00257,26.8704944,83.2596091,11
DIV435733,PUFGL00262,26.957675,83.27287,12
DIV475611,FGLTD02843,27.0874333,83.2656648,49
DIV475611,FGLTD02843,27.1121864,83.3768769,31
DIV475611,FGLTD02843,27.0882277,83.3356243,19
DIV475611,FGLTD02843,27.1206675,83.1740863,17
DIV475611,PUFGL00862,27.1507453,83.3169381,19
DIV475611,PUFGL00862,27.150658,83.3167148,19
DIV475611,PUFGL00862,27.1422393,83.3605731,18
DIV475611,PUFGL00862,27.150712,83.3167936,18
DIV475611,PUFGL00862,27.1507452,83.3169086,13
DIV475611,PUFGL00887,27.1432102,83.3109208,31
DIV475611,PUFGL00887,27.14601,83.3244933,20
DIV475611,PUFGL00887,27.128935,83.3168427,14
DIV475611,PUFGL00887,27.1486562,83.3144762,14
DIV475611,PUFGL00887,27.1507453,83.3169381,14
DIV475611,PUFGL00887,27.150745,83.3169378,13
DIV475611,PUFGL00887,27.1507925,83.3169331,11
DIV475611,PUFGL00888,27.2205204,83.2502575,17
DIV475611,PUFGL00888,27.2110868,83.2253015,11
DIV475612,FGLTD03249,27.2392533,83.50485,14
DIV475612,FGLTD03249,27.2352366,83.507375,14
DIV475612,PUFGL00915,27.2100897,83.5198483,10
DIV475612,PUFGL00933,27.1479867,83.561385,12
DIV475612,PUFGL00933,27.1478699,83.5619443,10
DIV475612,PUFGL00934,27.1132307,83.6166512,24
DIV475612,PUFGL00939,27.0975323,83.6099194,57
DIV475612,PUFGL00939,27.0937924,83.6097515,32
DIV475612,PUFGL00939,27.0766484,83.5814403,26
DIV475612,PUFGL00939,27.1335978,83.575178,20
DIV475612,PUFGL00939,27.0940535,83.6111167,12
DIV475612,PUFGL00939,27.0764503,83.5814673,12
DIV475612,PUFGL00939,27.1018349,83.6066769,12
DIV475612,PUFGL00992,27.1358706,83.6546902,23
DIV475612,PUFGL00992,27.068731,83.6303848,17
DIV475612,PUFGL00992,27.1359064,83.6554772,15
DIV475612,PUFGL00992,27.1361292,83.654884,11
DIV475612,PUFGL01006,26.9714793,83.5936187,26
DIV475612,PUFGL01006,26.9442284,83.5627214,19
DIV475612,PUFGL01006,27.0126936,83.5943756,16
DIV475612,PUFGL01006,26.9923493,83.5904099,14
DIV475612,PUFGL01010,26.9779337,83.5330162,19
DIV475612,PUFGL01021,26.9335308,83.5466834,36
DIV475612,PUFGL01021,26.9024148,83.5420471,18
DIV475612,PUFGL01021,26.9337144,83.5643022,18
DIV475612,PUFGL01021,26.9320523,83.5453532,13
DIV475612,PUFGL01023,26.9724417,83.5937787,45
DIV475612,PUFGL01023,26.94152,83.6171567,31
DIV475612,PUFGL01023,26.9410598,83.6178368,23
DIV475612,PUFGL01023,26.9622194,83.5424218,14
DIV475612,PUFGL01023,26.9416469,83.617568,13
DIV475612,PUFGL01024,26.9632023,83.6760655,13
DIV475613,FGLTD01582,27.3625481,83.3918987,45
DIV475613,FGLTD01582,27.3767936,83.3900101,38
DIV475613,FGLTD01582,27.3622827,83.390722,27
DIV475613,FGLTD01582,27.3624401,83.3907744,27
DIV475613,FGLTD01582,27.3636321,83.3912714,21
DIV475613,FGLTD01582,27.3608632,83.3897116,21
DIV475613,FGLTD01582,27.3611552,83.3919986,19
DIV475613,FGLTD01582,27.3607395,83.3893265,19
DIV475613,FGLTD01582,27.361161,83.3898185,15
DIV475613,FGLTD01582,27.3614,83.3903094,10
DIV475613,FGLTD01582,27.3755367,83.3903656,10
DIV475613,FGLTD01587,27.3096703,83.4444992,43
DIV475613,FGLTD01587,27.3097336,83.4445877,17
DIV475613,FGLTD01587,27.3097977,83.4444986,17
DIV475613,FGLTD01587,27.3099414,83.4446155,15
DIV475613,FGLTD01587,27.3096887,83.4444637,12
DIV475613,FGLTD02718,27.3785217,83.4706167,11
DIV475613,PUFGL01035,27.3783705,83.4602401,66
